"","Protein","Estimate","Std_Error","df","t_value","Pr_t","padj","significant","diffexpressed"
"1","A1BG",0.0367030485654488,0.0466226537952131,72.4276665486324,0.787236366395283,0.433712117880009,0.772418670651402,"Not-Significant","NO"
"2","A1CF",-0.021078827498411,0.0854675193108665,77.581531916363,-0.246629686556622,0.805846245467616,0.937329224399425,"Not-Significant","NO"
"3","AAAS",0.6175996528162,0.280651336772692,83.3102652709696,2.20059401789493,0.0305323742214504,0.275745781046839,"Not-Significant","NO"
"4","AAGAB",0.149858272691573,0.196953829441742,83.3911426216896,0.760880218050803,0.448874801882892,0.781254500780408,"Not-Significant","NO"
"5","AAMDC",0.055501088909903,0.180033558986169,79.8443684245064,0.308281907120254,0.758670680336531,0.922164094801202,"Not-Significant","NO"
"6","AARSD1",0.213159958203169,0.162219792855385,85.9094746191566,1.31401942051052,0.192337593099114,0.5869873154035,"Not-Significant","NO"
"7","AASDH",0.115018197443537,0.306139710186052,79.2717876317647,0.375704926922537,0.708139789034487,0.907333392386169,"Not-Significant","NO"
"8","ABCA2",0.0865645364740937,0.143319589590968,89.4452782620239,0.603996541722924,0.547374821726997,0.827057726401514,"Not-Significant","NO"
"9","ABCB5",0.298438230187056,0.188402598569974,84.1388361841819,1.58404519073666,0.116935115091863,0.485552885326801,"Not-Significant","NO"
"10","ABCC6",0.213391522003115,0.278474472125526,81.4049403149652,0.766287553664617,0.445721644096231,0.779094382952469,"Not-Significant","NO"
"11","ABCC8",0.300455706305354,0.253610937697575,85.6308017334841,1.18471115257513,0.239409388689254,0.629523323853666,"Not-Significant","NO"
"12","ABCF2",0.236935079036944,0.17779433861984,80.4738766683441,1.33263567825722,0.18641246674523,0.580346138056569,"Not-Significant","NO"
"13","ABCF3",-0.0710624859846756,0.163355288166761,83.7770337937152,-0.435017970842375,0.664667974585203,0.885221450314833,"Not-Significant","NO"
"14","ABHD14B",0.20172620618377,0.168215019769447,80.0067089743506,1.19921637473427,0.233983449945319,0.6241875268232,"Not-Significant","NO"
"15","ABHD5",0.397418070731372,0.224303533900982,82.0923136397036,1.77178693451531,0.080140666251683,0.413825779533544,"Not-Significant","NO"
