"","Protein","Estimate","Std_Error","df","t_value","Pr_t","padj","significant","diffexpressed"
"16","ABHD8",0.412659708932331,0.570709546245056,74.3643643506826,0.723064318176203,0.471908504086352,0.794416179398068,"Not-Significant","NO"
"17","ABI3BP",-0.20483738208849,0.110706306932858,82.7168007804348,-1.85027743914104,0.0678439907948663,0.382217649091341,"Not-Significant","NO"
"18","ABL1",0.173642574123636,0.172264346916358,83.9916113750869,1.00800065267102,0.316349290930241,0.693299626249708,"Not-Significant","NO"
"19","ABLIM1",0.179981393981753,0.234590331363204,85.1296030742254,0.767215737050549,0.445075893858047,0.778997948010912,"Not-Significant","NO"
"20","ABLIM3",0.15564130750339,0.251450694698694,73.1337868663786,0.618973463922578,0.537857189067318,0.823186731255343,"Not-Significant","NO"
"21","ABO",-0.12848817466649,0.526268139877946,86.557163211,-0.244149635766075,0.807692721964397,0.937329224399425,"Not-Significant","NO"
"22","ABRA",-0.182020278242063,0.40219055747223,84.4311897084598,-0.452572231894409,0.652017549023365,0.879408277179262,"Not-Significant","NO"
"23","ABRAXAS2",0.227060038048618,0.242910231507666,86.3310381270612,0.934748761463562,0.352525050822529,0.712914669892799,"Not-Significant","NO"
"24","ACAA1",0.434666013696038,0.219092628105305,78.4935118746946,1.98393719339164,0.0507587328394917,0.345038912316232,"Not-Significant","NO"
"25","ACAD9",0.331190013644518,0.465423767053427,81.3711095192961,0.71158809903771,0.47875495566979,0.796346272301143,"Not-Significant","NO"
"26","ACADM",0.270572548163404,0.246753820275086,78.8536685246423,1.09652830445244,0.276185151727818,0.658227679697156,"Not-Significant","NO"
"27","ACADSB",0.137456277566429,0.212282574779895,77.3475808389867,0.64751559429195,0.519215607004633,0.818179683535367,"Not-Significant","NO"
"28","ACAN",0.0625542444679914,0.0660154952699163,83.6218979876457,0.947569115587592,0.346079170706639,0.710061137792661,"Not-Significant","NO"
"29","ACBD7",0.217511983014744,0.206300989255523,76.6571478158669,1.05434289869224,0.295037812555182,0.673915167595811,"Not-Significant","NO"
"30","ACE",-0.082946750484998,0.085945338676261,80.0527954489314,-0.965110519808897,0.33739598134851,0.705736124797297,"Not-Significant","NO"
"31","ACE2",0.0613078228657458,0.1136203886739,81.2177529434739,0.53958469585687,0.59095977736628,0.848150576598594,"Not-Significant","NO"
"32","ACHE",-0.152800835004165,0.0810139552214466,82.1818253205478,-1.88610511098358,0.0628132297797855,0.367853456232913,"Not-Significant","NO"
"33","ACIN1",0.243161762646128,0.162124980683765,83.2344538621825,1.4998414286348,0.137439154222764,0.513485952482789,"Not-Significant","NO"
"34","ACOT12",0.249655877480283,0.288854460016187,81.1053909052819,0.864296426187407,0.389974084870853,0.738414117814789,"Not-Significant","NO"
"35","ACOT13",0.225389431736013,0.285286962313784,85.4474056958399,0.790044627024035,0.431688777040539,0.770841638274613,"Not-Significant","NO"
"36","ACOX1",0.133550669333153,0.114854456650633,76.0363102857514,1.16278177815416,0.248554461771517,0.635155939217883,"Not-Significant","NO"
"37","ACP1",0.309365588232993,0.19884576267197,83.4798205447809,1.55580679254074,0.123537244016767,0.495153538802748,"Not-Significant","NO"
"38","ACP3",-0.294878750392999,0.0999289551688456,72.6942023682504,-2.950883954453,0.00426222743303685,0.110152589952338,"Not-Significant","NO"
"39","ACP5",0.151686353875878,0.084758012086987,75.8214234910012,1.78964029642652,0.0775046925948454,0.40736097357886,"Not-Significant","NO"
"40","ACP6",0.141583896100641,0.1263967168918,82.8426451646531,1.12015485514423,0.265884767465647,0.649850976831373,"Not-Significant","NO"
"41","ACRBP",0.0403454945213846,0.111402633388001,76.5167819643663,0.362159253281442,0.718231339681147,0.910042010303666,"Not-Significant","NO"
"42","ACRV1",-0.281901193492043,0.173134622162797,80.6555959484375,-1.62821964763912,0.107378557354611,0.467070276572027,"Not-Significant","NO"
"43","ACSL1",0.204753160058883,0.372225738075662,83.3890961240911,0.550077920773075,0.583736353875687,0.844991154628666,"Not-Significant","NO"
"44","ACSM1",-0.158256926073146,0.26978242122742,81.3030636590048,-0.586609480903649,0.559091290762712,0.833304637319774,"Not-Significant","NO"
"45","ACSM5",0.237551585318657,0.184598614256205,85.1363188638415,1.2868546509724,0.201632935092907,0.59980831809322,"Not-Significant","NO"
"46","ACTA2",0.178201720912519,0.0794228418257657,84.3966757223531,2.24370869659197,0.0274695082630172,0.264124165866229,"Not-Significant","NO"
"47","ACTG2",0.0327489744176647,0.119705725841577,76.5164787589173,0.273579013764187,0.785145285047448,0.930558353907915,"Not-Significant","NO"
"48","ACTN2",1.66480481274327,0.24279401364457,84.2418178671625,6.85686103933521,1.09588260597495e-09,2.32239441858211e-07,"Significant","UP"
"49","ACTN4",0.0323838606016182,0.0971454811925717,244.999999996595,0.333354266241408,0.739151989039378,0.9162440893614,"Not-Significant","NO"
"50","ACTR5",0.0696160141329896,0.147347307492953,76.6293008829049,0.472462071533401,0.637939832552629,0.872883582867724,"Not-Significant","NO"
"51","ACVRL1",-0.0301122386754284,0.0541560962261238,84.5443406169854,-0.556026759198033,0.579661167587678,0.843693644472395,"Not-Significant","NO"
"52","ACY1",0.165067905851578,0.126784588469259,82.5652533103122,1.30195560710127,0.196552178522359,0.593690673780763,"Not-Significant","NO"
"53","ACY3",0.0950276012363365,0.137968421236022,81.4178705442058,0.688763416910984,0.492930211910247,0.804294506529254,"Not-Significant","NO"
"54","ACYP1",0.0344241199413206,0.139737009765748,77.2583597138731,0.246349338654294,0.806065174379923,0.937329224399425,"Not-Significant","NO"
"55","ADA",-0.140534761594828,0.108807902599008,82.3031790651994,-1.29158598077885,0.200116020887569,0.598315281412156,"Not-Significant","NO"
"56","ADA2",0.0498139756517551,0.112267126246655,84.4397264500778,0.443709368157444,0.658387637161275,0.88227925863555,"Not-Significant","NO"
"57","ADAM12",0.485796748914726,0.133240752212391,75.8069954313613,3.64600725264854,0.000485924054359627,0.0252394670587971,"Significant","UP"
"58","ADAM15",-0.0804325964292657,0.075606497515632,83.2423753409826,-1.06383180113106,0.290481216336542,0.669334785427893,"Not-Significant","NO"
"59","ADAM22",0.0278800915877011,0.078346323791847,81.2966511209249,0.355857049040026,0.722869385287859,0.911325061644719,"Not-Significant","NO"
"60","ADAM23",-0.0503083478007532,0.0789283106731215,77.7951688560901,-0.637392937612756,0.525740402578933,0.820675501727515,"Not-Significant","NO"
"61","ADAM8",-0.072432157049972,0.0887001107144965,83.4031128087212,-0.816596016245267,0.416485687421713,0.760629905573087,"Not-Significant","NO"
"62","ADAM9",-0.233397527913004,0.0744292085124136,81.0621336517626,-3.13583245849077,0.00238769332697874,0.076204814736948,"Not-Significant","NO"
"63","ADAMTS1",0.373061424143055,0.117151457339963,87.6150833313236,3.18443690427567,0.00200891121725623,0.065911701005712,"Not-Significant","NO"
"64","ADAMTS13",-0.0362340697432226,0.0555798432998513,79.9686702522931,-0.651928245780418,0.516316860918313,0.81655126243141,"Not-Significant","NO"
"65","ADAMTS15",0.402538737239014,0.183307271140057,71.1950703570198,2.19597801404972,0.0313526812048792,0.281536449192288,"Not-Significant","NO"
"66","ADAMTS4",0.0205681659949078,0.186729142914007,67.620889371854,0.110149737067983,0.912616881252676,0.978952062538303,"Not-Significant","NO"
"67","ADAMTS8",-0.437620530410444,0.132538578956343,74.9026131275289,-3.30183508723594,0.00147369280705945,0.0545987726699368,"Not-Significant","NO"
"68","ADAMTSL2",-0.145549671729513,0.0677949478075937,79.8774429312198,-2.14691029990306,0.0348336126012428,0.294811485101072,"Not-Significant","NO"
"69","ADAMTSL4",-0.0430245264090309,0.0744463650175812,73.8522294785364,-0.577926489746951,0.565071781215774,0.835249973564897,"Not-Significant","NO"
"70","ADAMTSL5",-0.478790044091759,0.110172089257518,81.0557319482779,-4.3458379279041,3.99276071192243e-05,0.00325440711565616,"Significant","DOWN"
"71","ADCY3",0.188081700357719,0.247348497363419,80.911975922872,0.760391521931821,0.449230732543129,0.781360610969631,"Not-Significant","NO"
"72","ADCY5",0.113785478094198,0.314164827125647,85.988931592566,0.362184013835167,0.71810311729189,0.910042010303666,"Not-Significant","NO"
"73","ADCYAP1R1",0.0310982307177291,0.0886196630968787,77.8387777004994,0.350917952415737,0.726597894660173,0.911325061644719,"Not-Significant","NO"
"74","ADD1",0.207402137401705,0.177260524456964,84.136532307383,1.17004131651465,0.245288018344774,0.632668566024742,"Not-Significant","NO"
"75","ADD2",-0.052749902762519,0.12618523467053,76.5406860031125,-0.418035461123873,0.67709168713558,0.890352881222215,"Not-Significant","NO"
"76","ADGB",0.55132146381488,0.460511750062117,70.991007211027,1.19719304391368,0.235213759253798,0.62495611661315,"Not-Significant","NO"
"77","ADGRA2",0.10396039257319,0.125626493283559,73.7454109338906,0.827535576739647,0.410603478834762,0.755859507104708,"Not-Significant","NO"
"78","ADGRB1",-0.0183700503257061,0.0849384541297947,77.4123056201763,-0.216274837044182,0.829342421209825,0.948833984912606,"Not-Significant","NO"
"79","ADGRB3",-0.1314354681227,0.0933538154147049,86.1422106430723,-1.40792818738929,0.162750984255594,0.553013759942789,"Not-Significant","NO"
"80","ADGRD1",-0.0773164802075076,0.0960345619373124,74.7698478578466,-0.8050901534593,0.423320450763813,0.765705615618532,"Not-Significant","NO"
"81","ADGRE1",0.285046546680963,0.12921895391859,86.9101840787766,2.20591900829461,0.0300278510231962,0.274726767019224,"Not-Significant","NO"
"82","ADGRE2",-0.0678024267657185,0.0980657630470343,85.7860155361347,-0.691397534256671,0.491182623433793,0.80367064204825,"Not-Significant","NO"
"83","ADGRE3",-0.0890581315140848,0.0997134243842729,83.5410342580737,-0.893140838999521,0.374347410536596,0.729164389086431,"Not-Significant","NO"
"84","ADGRE5",-0.0678494653329078,0.0935635007037898,86.4859293716666,-0.725170230084813,0.470305172259701,0.794416179398068,"Not-Significant","NO"
"85","ADGRF2",-0.0739032462022187,0.234892098606127,76.0269068766564,-0.314626360957937,0.753907195496999,0.920787835171371,"Not-Significant","NO"
"86","ADGRF4",-0.0878626771530033,0.349074803122893,77.8311102939533,-0.251701573321724,0.801935164565197,0.936186380887537,"Not-Significant","NO"
"87","ADGRF5",0.115187611102286,0.0642290713731185,76.1184028246972,1.79338745897695,0.0768829211585484,0.405708197728794,"Not-Significant","NO"
"88","ADGRG1",0.0740158746917737,0.145964000055492,81.1477873964977,0.507083079825399,0.613471789389457,0.860461592530552,"Not-Significant","NO"
"89","ADGRG2",-0.187417384985864,0.0778555817507849,73.8118467159382,-2.40724403788782,0.0185740861954579,0.22213433106893,"Not-Significant","NO"
"90","ADGRG3",-0.447293427816968,0.194672206062189,85.3269172095885,-2.29767482921562,0.0240274371052112,0.246700313533738,"Not-Significant","NO"
"91","ADGRV1",0.505489089097101,0.314005143438913,83.5291281046278,1.60981149404465,0.11121201153841,0.474335675709908,"Not-Significant","NO"
"92","ADH1B",0.234070250897938,0.200000900330718,81.8191057943726,1.17034598599748,0.245259397947368,0.632668566024742,"Not-Significant","NO"
"93","ADH4",0.380742755129657,0.257982718383559,78.6029082776583,1.47584596951019,0.143980106165016,0.517859200585373,"Not-Significant","NO"
"94","ADI1",0.173894074254726,0.241649404838101,89.6927998981023,0.719613087279196,0.473634179845604,0.794416179398068,"Not-Significant","NO"
"95","ADM",-0.122506294133699,0.0626608609448357,83.7864610454789,-1.9550687987123,0.0539089069345754,0.348204474009328,"Not-Significant","NO"
"96","ADRA2A",0.122738169645152,0.0936542825149637,84.4863589827024,1.31054519183937,0.193562994763566,0.589027424616527,"Not-Significant","NO"
"97","ADRM1",0.314063477594738,0.231032761879556,79.5426596070824,1.35938935690198,0.177864716210249,0.569836578715927,"Not-Significant","NO"
"98","ADSL",0.185555575693829,0.142109473750171,84.1411665592259,1.30572276989806,0.195205637555606,0.592422353159451,"Not-Significant","NO"
"99","AEBP1",0.0157869982485911,0.0812577158852736,82.0468741729212,0.19428306686445,0.846434482797552,0.956696390444829,"Not-Significant","NO"
"100","AFAP1",0.224048568831548,0.690108125148224,84.8669609474028,0.324657195976972,0.74623943883577,0.918581911466522,"Not-Significant","NO"
"101","AFAP1L1",0.6317580370412,0.0841621812628218,84.8700296950449,7.50643611610238,5.55701012487093e-11,1.63561331342034e-08,"Significant","UP"
"102","AFAP1L2",0.579613113528674,0.177377380236983,82.8165967082806,3.26768335824043,0.00157945812440997,0.0565403320481353,"Not-Significant","NO"
"103","AFG2A",0.221907656151311,0.246475429964106,62.4923618072874,0.900323639494726,0.37140454554727,0.727929136028861,"Not-Significant","NO"
"104","AFM",-0.0506693735979059,0.0485301888455415,81.1361781212678,-1.04407946482905,0.299549433135824,0.677455482495111,"Not-Significant","NO"
"105","AFP",0.000395595017894689,0.123113410918858,81.9534352766099,0.00321325690631234,0.997444005195675,0.99942318992787,"Not-Significant","NO"
"106","AFTPH",0.226194294013741,0.158409083549832,89.1201845390337,1.42791239583547,0.156812046127039,0.544350026518915,"Not-Significant","NO"
"107","AGAP3",0.158766934924342,0.134194821385164,84.5105386634033,1.18310776291919,0.240084028637617,0.630158503058405,"Not-Significant","NO"
"108","AGAP9_AGAP4",-0.13266478930421,0.288926466039657,67.7495813576036,-0.459164544953804,0.647585862202479,0.877758992322124,"Not-Significant","NO"
"109","AGBL2",0.189763997370296,0.126209515860455,87.6397393229137,1.50356330960107,0.136289010348192,0.512408662743109,"Not-Significant","NO"
"110","AGBL3",0.0707225789052029,0.21072591069888,72.6770907897315,0.335614062222577,0.738128833992417,0.915713807855378,"Not-Significant","NO"
"111","AGER",-0.23146367382698,0.113397960620147,76.6827053770382,-2.0411625796545,0.0446754165556432,0.330882734148746,"Not-Significant","NO"
"112","AGR2",-0.378631535102014,0.222870829737875,81.1543071660264,-1.69888331975671,0.093171924588488,0.443871284075951,"Not-Significant","NO"
"113","AGR3",-0.499286126017184,0.334024711207236,74.833792415152,-1.49475805012347,0.139182695379724,0.513485952482789,"Not-Significant","NO"
"114","AGRN",-0.0195090832983562,0.0762625772581949,82.6040043355351,-0.255814634120037,0.798729924030339,0.935809746605758,"Not-Significant","NO"
"115","AGRP",0.253002186112298,0.128667455268956,72.4802613943574,1.96632618235468,0.053090885089756,0.346398410351635,"Not-Significant","NO"
"116","AGT",0.0287354575745705,0.0569927502100506,80.4306782532274,0.504194962844643,0.61550279071458,0.860461592530552,"Not-Significant","NO"
"117","AGXT",0.374964374729697,0.21862095864749,82.1680853744748,1.71513461952337,0.0900896218350793,0.434694732679645,"Not-Significant","NO"
"118","AHCY",0.0882805435531514,0.16415762519546,74.1391491601875,0.537779122036136,0.592340226404926,0.849232707563627,"Not-Significant","NO"
"119","AHI1",0.24519189869747,0.40404279412653,80.5442622061563,0.606846359498953,0.54565971459095,0.826445159491953,"Not-Significant","NO"
"120","AHSA1",0.050428442486176,0.0967988367014564,76.3455348759788,0.520961245037537,0.603901566683529,0.854559428496084,"Not-Significant","NO"
"121","AHSA2P",-0.050214267278352,0.283814788599118,80.6927667714259,-0.176926183185185,0.86000970267483,0.961454189654199,"Not-Significant","NO"
"122","AHSG",-0.0506192907606869,0.06628843292484,72.486317439091,-0.763621774225387,0.447571061503327,0.780010356527838,"Not-Significant","NO"
"123","AHSP",-0.00135733106634695,0.185092840607559,79.2820752810891,-0.0073332445592794,0.994167390981041,0.99942318992787,"Not-Significant","NO"
"124","AIDA",0.554663029537545,0.356168149223848,82.6891848741777,1.55730665626966,0.123217014952768,0.495153538802748,"Not-Significant","NO"
"125","AIF1",-0.0766145216652247,0.172024750984173,73.3232028613418,-0.445369176394119,0.65736514222503,0.881701398356509,"Not-Significant","NO"
"126","AIF1L",0.0628005030352101,0.139119370835323,82.048924606283,0.451414513005149,0.652881751149616,0.879538700980256,"Not-Significant","NO"
"127","AIFM1",0.374164178588919,0.196522665234019,82.3832179588298,1.90392379496463,0.0604114147081131,0.362768486658832,"Not-Significant","NO"
"128","AJM1",0.387540897570341,0.275402828084405,53.1426575946995,1.40717835131152,0.165196511577115,0.554633154838755,"Not-Significant","NO"
"129","AK1",0.103045038522651,0.159213445193472,74.5304964874516,0.647213169700796,0.519482495996929,0.818179683535367,"Not-Significant","NO"
"130","AK2",0.26524671383368,0.327926804688965,87.8952452650376,0.808859507795539,0.420780029907364,0.763717916563623,"Not-Significant","NO"
"131","AK4",0.16356493860716,0.171965299501159,75.7762230434169,0.951150837300506,0.344551803971739,0.709182384398708,"Not-Significant","NO"
"132","AK7",0.357691092819068,0.228075965059002,83.2070350199092,1.56829805686248,0.12060690350837,0.493455734413499,"Not-Significant","NO"
"133","AKAP11",-0.473842315617713,0.255421766695674,78.7839584275872,-1.85513678707845,0.0673173791376195,0.379837944869016,"Not-Significant","NO"
"134","AKAP12",-0.209219436930434,0.0740281247832488,81.9732540757416,-2.8262155436602,0.00591531696736498,0.125860840534537,"Not-Significant","NO"
"135","AKAP13",0.033185930626812,0.181870523911263,74.7178322064845,0.182470088682452,0.855708006502356,0.96049597848506,"Not-Significant","NO"
"136","AKAP14",0.269789689292598,0.169560520663389,72.2558547747264,1.59111147003484,0.115950452407144,0.483705115632322,"Not-Significant","NO"
"137","AKAP2",0.0487842991715569,0.0938972256098035,80.4599254457019,0.519549953203979,0.604803663278581,0.855150736068834,"Not-Significant","NO"
"138","AKAP5",0.283332629273147,0.109833020414958,65.2897038372469,2.57966710013705,0.0121489081854506,0.179289458402555,"Not-Significant","NO"
"139","AKAP7",0.00870717948370608,0.164218689322616,79.2484209883488,0.0530218546964554,0.957847925295317,0.990858298415083,"Not-Significant","NO"
"140","AKAP8",0.118757693918553,0.200265500927892,83.4775664279504,0.593001257672003,0.554783487109328,0.830626330696127,"Not-Significant","NO"
"141","AKR1A1",-0.0106015784661147,0.170017883123932,84.430652654216,-0.062355666776458,0.95042698027235,0.989004533140572,"Not-Significant","NO"
"142","AKR1B1",0.302075374727722,0.182116790999938,84.2997160919355,1.65869040997887,0.10089462427457,0.458832377173109,"Not-Significant","NO"
"143","AKR1B10",0.155058732762603,0.433702345740608,83.1259933797346,0.35752338968289,0.721606168013342,0.911325061644719,"Not-Significant","NO"
"144","AKR1C4",0.132309934237618,0.18971007884274,87.9327582125771,0.697432287439493,0.487372257748229,0.800898952093709,"Not-Significant","NO"
"145","AKR7L",0.418021497802452,0.274209621278946,80.2932952977117,1.52445963001864,0.131323213822628,0.506000281332569,"Not-Significant","NO"
"146","AKT1S1",0.118352902227591,0.156183811748548,75.6639616114871,0.757779573328226,0.450936620421456,0.781392354445188,"Not-Significant","NO"
"147","AKT2",0.141466220950806,0.327717428528315,81.4877974328171,0.431671338280939,0.667120287325795,0.886543235241569,"Not-Significant","NO"
"148","AKT3",0.234367031097927,0.244120167507676,244.999999999785,0.960047805515935,0.337977646496275,0.705939104940968,"Not-Significant","NO"
"149","ALAS1",-0.00136450640087307,0.30022559907574,86.2556307071005,-0.00454493689103718,0.996384172595677,0.99942318992787,"Not-Significant","NO"
"150","ALCAM",-0.0358831806943872,0.0565422739027479,74.9724289986616,-0.634625709537361,0.52760446434362,0.821253689521929,"Not-Significant","NO"
"151","ALDH1A1",0.105498546278208,0.126484894214242,82.348323331715,0.834080203281134,0.406648796757208,0.752060973875862,"Not-Significant","NO"
"152","ALDH1A3",0.0586204188367125,0.160950921546922,82.5668765331905,0.364213005264606,0.716630021504538,0.909400526073351,"Not-Significant","NO"
"153","ALDH1L1",0.214112859541408,0.207648003548151,73.605410309349,1.03113372574159,0.305854450792744,0.68347809762181,"Not-Significant","NO"
"154","ALDH2",0.17528227062205,0.176007271328057,75.6510610731929,0.995880847986923,0.32248282965138,0.696386883916122,"Not-Significant","NO"
"155","ALDH3A1",1.84932380216717,0.273743801832402,88.1800987871087,6.75567369850225,1.46531334227574e-09,2.98585772591418e-07,"Significant","UP"
"156","ALDH5A1",0.450823942765686,0.175521388366791,80.7969646118375,2.56848437082545,0.0120551792255418,0.178685708455229,"Not-Significant","NO"
"157","ALDH9A1",0.116006551004936,0.115177042247537,81.6413182980293,1.00720203211692,0.316813589118638,0.693299626249708,"Not-Significant","NO"
"158","ALK",0.190517567961169,0.101419743685287,73.462789657455,1.87850571336838,0.0642798766413158,0.371784701359925,"Not-Significant","NO"
"159","ALMS1",0.0348540452373123,0.248267901629467,67.6056920226515,0.140388850143548,0.888770209285226,0.970106941364703,"Not-Significant","NO"
"160","ALPG",-0.105725764045336,0.293122988169239,85.6253756248812,-0.360687384860766,0.719221459600398,0.910280767549668,"Not-Significant","NO"
"161","ALPI",0.350429119022661,0.430681059226189,79.7345594925944,0.813662712848997,0.418261410152139,0.761445531788556,"Not-Significant","NO"
"162","ALPK2",-0.138160169948513,0.159267483079325,81.0537639790571,-0.867472551692807,0.388244135223819,0.7380826408177,"Not-Significant","NO"
"163","ALPP",-0.19516048374711,0.261103754593456,87.1605718546562,-0.747444187660107,0.456807259675137,0.786789616956722,"Not-Significant","NO"
"164","ALYREF",-0.686099339208145,0.353227518321593,73.3785372001411,-1.94237227741552,0.0559299368995969,0.3519201967863,"Not-Significant","NO"
"165","AMBN",-0.284520130566064,0.169304937978415,71.4526060934264,-1.68051879622281,0.097223463958522,0.450647342127952,"Not-Significant","NO"
"166","AMBP",-0.00859039665276604,0.0281099191136369,76.5611670455345,-0.305600191094061,0.760738443640328,0.923079213289347,"Not-Significant","NO"
"167","AMDHD1",0.665646283670884,0.219700704437828,75.9256173363858,3.02978675181832,0.00334435916160138,0.0935867236844554,"Not-Significant","NO"
"168","AMDHD2",0.128167460849213,0.0532971320913306,70.6180016492255,2.40477218604528,0.0188070153158729,0.222907309045849,"Not-Significant","NO"
"169","AMELY",-0.0753815627292332,0.0996054489568113,242.999999996088,-0.75680159588376,0.44990187148846,0.781392354445188,"Not-Significant","NO"
"170","AMFR",0.0531544560728056,0.0793208314948888,83.1905610256328,0.670119753803019,0.504637405189098,0.811033525619,"Not-Significant","NO"
"171","AMIGO2",0.00978472640903974,0.0359795775474626,81.4440733045889,0.271952231682882,0.786346966552217,0.930558353907915,"Not-Significant","NO"
"172","AMMECR1L",-0.050855019515144,0.239783308763058,79.0368938069372,-0.212087404154542,0.832584837036735,0.949630670962459,"Not-Significant","NO"
"173","AMN",-0.146286738174235,0.202230174550697,82.5597467610149,-0.723367511793166,0.471498644266548,0.794416179398068,"Not-Significant","NO"
"174","AMOT",0.101315717394683,0.0916307474481669,62.749703203211,1.10569563401188,0.273079581336015,0.655242582390492,"Not-Significant","NO"
"175","AMOTL2",0.267116627632071,0.108136974442508,80.9150251576172,2.47016923683293,0.0156071402054256,0.201396526575022,"Not-Significant","NO"
"176","AMPD3",-0.154429855090258,0.178726548172843,77.6971789767109,-0.864056608651737,0.390216477119445,0.738609108888467,"Not-Significant","NO"
"177","AMY1_AMY2",-0.15703475304163,0.123934999233791,80.8215820400364,-1.26707349830534,0.208768001772219,0.605551978307613,"Not-Significant","NO"
"178","ANG",0.0267737934488634,0.0690234037373788,76.60610976902,0.387894424197519,0.699169931653552,0.904156969079649,"Not-Significant","NO"
"179","ANGPT1",0.207693315632007,0.209028073359902,79.9025639716409,0.993614457108847,0.323410132805663,0.696386883916122,"Not-Significant","NO"
"180","ANGPT2",0.107066272291151,0.117602946746011,86.574501040472,0.910404673127652,0.365136941983332,0.722905649711395,"Not-Significant","NO"
"181","ANGPTL1",0.0491589591437104,0.0694428595461528,80.9700949535055,0.707905167860183,0.481036961397781,0.797682615269587,"Not-Significant","NO"
"182","ANGPTL2",-0.137136514623467,0.0895185918634192,81.9042158894867,-1.53193333104144,0.129392495947708,0.504151428955016,"Not-Significant","NO"
"183","ANGPTL3",0.149008422098421,0.0926003665569992,77.0942736003638,1.60915585584319,0.111669857789184,0.474820952301041,"Not-Significant","NO"
"184","ANGPTL4",0.0677280145600192,0.097892798992175,77.9915005698376,0.691859005537608,0.4910804665618,0.80367064204825,"Not-Significant","NO"
"185","ANGPTL5",-0.153154129683942,0.183379301391297,69.8772990083068,-0.835176753984572,0.406464689613127,0.752060973875862,"Not-Significant","NO"
"186","ANGPTL7",-0.00176615213461517,0.171482555129342,82.0474885207269,-0.0102993108149283,0.9918074861342,0.99942318992787,"Not-Significant","NO"
"187","ANK2",0.228919450115778,0.328768221430062,84.3291063672059,0.696294335018249,0.488159274256954,0.801674332457907,"Not-Significant","NO"
"188","ANKIB1",0.34415230601418,0.186321038425175,75.9315375888714,1.84709310834154,0.0686293042589476,0.382734793646215,"Not-Significant","NO"
"189","ANKMY2",0.251409373874667,0.210829538290215,83.4692113570738,1.19247699308904,0.236453286970567,0.626923220595388,"Not-Significant","NO"
"190","ANKRA2",-0.0979005785219833,0.112091835059794,244.999999993306,-0.873396161903851,0.383302422225858,0.733912624847342,"Not-Significant","NO"
"191","ANKRD10",0.356108899280044,0.215590599114635,82.1619420512156,1.65178305892036,0.10239587505829,0.461525903740116,"Not-Significant","NO"
"192","ANKRD11",0.21224791676147,0.435034290825826,86.5446105631954,0.487887785485966,0.626863079889977,0.865643727558854,"Not-Significant","NO"
"193","ANKRD18B",0.120020813692911,0.119083598607829,76.2981542168034,1.00787022810898,0.316702460634153,0.693299626249708,"Not-Significant","NO"
"194","ANKRD2",1.54830450233919,0.144351169150903,75.0142079395505,10.7259574788799,8.4121389684242e-17,8.91350245094228e-14,"Significant","UP"
"195","ANKRD20A1",0.00238847754243654,0.452873879391739,71.2137761844052,0.00527404571366433,0.99580668638367,0.99942318992787,"Not-Significant","NO"
"196","ANKRD20A12P",-0.113579079118957,0.272949289191324,68.734074743734,-0.416117878362904,0.678620195664037,0.891608410305573,"Not-Significant","NO"
"197","ANKRD20A4P",0.0810524354952325,0.137291360096435,72.2577084744511,0.590368071510839,0.556785835438687,0.832585762391805,"Not-Significant","NO"
