"STRING_id","Protein","Eff_ALS","padj_ALS","cluster","cluster_color","log10padj"
"9606.ENSP00000443495","ACTN2",1.66480481274327,2.32239441858211e-07,"1","#ff0000",6.63406402091644
"9606.ENSP00000357668","ADAM12",0.485796748914726,0.0252394670587971,"13","#758bef",1.59791981962866
"9606.ENSP00000327608","ADAMTSL5",-0.478790044091759,0.00325440711565616,"Unclustered","#D3D3D3",2.48752811918544
"9606.ENSP00000296721","AFAP1L1",0.6317580370412,1.63561331342034e-08,"Unclustered","#D3D3D3",7.78631936307157
"9606.ENSP00000411821","ALDH3A1",1.84932380216717,2.98585772591419e-07,"Unclustered","#D3D3D3",6.52493088995408
"9606.ENSP00000306163","ANKRD2",1.54830450233919,8.91350245094228e-14,"1","#ff0000",13.0499516117622
"9606.ENSP00000350425","APOA4",-0.340438790351344,0.0135964786404305,"6","#f1ff65",1.86657355523646
"9606.ENSP00000348064","ART3",-1.00512550045801,8.40400800214087e-12,"1","#ff0000",11.0755135427387
"9606.ENSP00000358107","CA14",-0.397261344681493,0.0294352245558374,"Unclustered","#D3D3D3",1.53113264668758
"9606.ENSP00000285381","CA3",1.6739182020509,1.58813018293557e-13,"1","#ff0000",12.7991139002633
"9606.ENSP00000331746","CALCA",1.34518941020696,7.46084447878439e-08,"19","#ef75e0",7.12721201277943
"9606.ENSP00000433490","CALCB",0.689443549381141,0.00281078284767162,"19","#ef75e0",2.55117270533558
"9606.ENSP00000449960","CALCOCO1",1.04461724055494,0.00585941578182203,"Unclustered","#D3D3D3",2.23214568353469
"9606.ENSP00000229922","CAP2",0.653836562516546,0.0275793436948414,"Unclustered","#D3D3D3",1.55941607293538
"9606.ENSP00000380349","CAPN3",0.83414301531938,0.00243014896962246,"1","#ff0000",2.61436710306753
"9606.ENSP00000379472","CCK",0.91770337839772,0.0304532250289402,"15","#9475ef",1.51636670834779
"9606.ENSP00000259526","CCN3",0.333808363825777,0.0117366972775189,"5","#b29b00",1.9304540969508
"9606.ENSP00000320084","CD276",0.693185860482069,6.97741715975941e-09,"4","#ffca65",8.1563053110232
"9606.ENSP00000226279","CD38",-0.33052978890983,0.0157242913400689,"4","#ffca65",1.80342891815822
"9606.ENSP00000271332","CELSR2",-0.206838645059504,0.0337979556539456,"Unclustered","#D3D3D3",1.4711095682153
"9606.ENSP00000327599","CLEC4G",0.288098341847788,0.0275793436948414,"Unclustered","#D3D3D3",1.55941607293538
"9606.ENSP00000394770","CMYA5",1.70745250173562,1.25476843893093e-07,"1","#ff0000",6.90143641360397
"9606.ENSP00000295550","COL6A3",0.331779451929448,0.0162261403670437,"5","#b29b00",1.78978477140212
"9606.ENSP00000222271","COMP",-0.407248004640467,0.000661436707068481,"7","#7bb200",3.17951170716206
"9606.ENSP00000344562","CORO6",1.91677149506772,1.12092034386728e-13,"14","#7975ef",12.9504252486432
"9606.ENSP00000359629","CRTAC1",-0.308647284622526,0.00784232026266412,"Unclustered","#D3D3D3",2.10555542606696
"9606.ENSP00000431813","CSRP3",3.23533874865478,8.41420422675679e-15,"1","#ff0000",14.0749869511404
"9606.ENSP00000408910","DCTN2",0.680512489549064,0.0294352245558374,"9","#2db200",1.53113264668758
"9606.ENSP00000354923","DMD",0.925275880757111,2.5853192814433e-06,"3","#b24d00",5.58748581481127
"9606.ENSP00000384084","DTNB",0.951943767829445,1.11538426707589e-08,"3","#b24d00",7.95257548569197
"9606.ENSP00000340609","DUSP29",1.02548118942829,0.0026694765177117,"Unclustered","#D3D3D3",2.57357389509942
"9606.ENSP00000379365","EDA2R",1.39902524043977,1.52220261095506e-18,"2","#ff8765",17.8175275374712
"9606.ENSP00000307235","EIF2AK3",0.857695407173247,0.0134611703499414,"2","#ff8765",1.87091717975355
"9606.ENSP00000349594","ELAVL4",0.821368207951841,0.00109178417304489,"8","#aeff65",2.96186320569693
"9606.ENSP00000397679","ENDOU",-0.331150050226828,0.0205094879598989,"Unclustered","#D3D3D3",1.68804518209708
"9606.ENSP00000360436","ENPP5",-0.535045504475398,0.00136562714277439,"Unclustered","#D3D3D3",2.86466785990739
"9606.ENSP00000275815","EPHA1",-0.245688543256125,0.0319357032344789,"13","#758bef",1.49572351609623
"9606.ENSP00000356042","EZR",-0.377640631403869,0.038350513025722,"11","#75c0ef",1.41622882199532
"9606.ENSP00000274024","FABP2",-0.624723345230193,0.00293273034814701,"6","#f1ff65",2.53272786668035
"9606.ENSP00000362817","FABP3",0.499723048093235,0.0010132819992493,"22","#ef7590",2.99426967243408
"9606.ENSP00000371770","FGFBP1",-0.259113071010567,0.0392690119025676,"Unclustered","#D3D3D3",1.40595002642658
"9606.ENSP00000296137","FYCO1",0.96566965862248,0.00586262575060337,"Unclustered","#D3D3D3",2.23190782876173
"9606.ENSP00000468500","GFAP",0.406095996956421,0.0355175735969703,"8","#aeff65",1.44955671095201
"9606.ENSP00000349305","GOLGA4",0.316618031846913,0.0320154321511254,"Unclustered","#D3D3D3",1.49464063160079
"9606.ENSP00000361935","HPCAL4",1.02464606415848,2.02865304700793e-08,"Unclustered","#D3D3D3",7.69279222238721
"9606.ENSP00000429473","HS6ST2",1.04231673595481,6.80635649821179e-13,"Unclustered","#D3D3D3",12.1670853074954
