"Protein_Set","T","Train_CV_AUC","sensitivities","specificities"
"Panel_1",0.5,0.81411730879816,1,0
"Panel_1",0.5,0.81411730879816,1,0.00531914893617021
"Panel_1",0.5,0.81411730879816,1,0.0106382978723404
"Panel_1",0.5,0.81411730879816,1,0.0159574468085106
"Panel_1",0.5,0.81411730879816,1,0.0212765957446809
"Panel_1",0.5,0.81411730879816,1,0.0265957446808511
"Panel_1",0.5,0.81411730879816,1,0.0319148936170213
"Panel_1",0.5,0.81411730879816,1,0.0372340425531915
"Panel_1",0.5,0.81411730879816,1,0.0425531914893617
"Panel_1",0.5,0.81411730879816,1,0.0478723404255319
"Panel_1",0.5,0.81411730879816,1,0.0531914893617021
"Panel_1",0.5,0.81411730879816,1,0.0585106382978723
"Panel_1",0.5,0.81411730879816,1,0.0638297872340425
"Panel_1",0.5,0.81411730879816,1,0.0691489361702128
"Panel_1",0.5,0.81411730879816,1,0.074468085106383
"Panel_1",0.5,0.81411730879816,1,0.0797872340425532
"Panel_1",0.5,0.81411730879816,1,0.0851063829787234
"Panel_1",0.5,0.81411730879816,1,0.0904255319148936
"Panel_1",0.5,0.81411730879816,1,0.0957446808510638
"Panel_1",0.5,0.81411730879816,1,0.101063829787234
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.101063829787234
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.106382978723404
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.111702127659574
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.117021276595745
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.122340425531915
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.127659574468085
"Panel_1",0.5,0.81411730879816,0.972972972972973,0.132978723404255
"Panel_1",0.5,0.81411730879816,0.945945945945946,0.132978723404255
"Panel_1",0.5,0.81411730879816,0.945945945945946,0.138297872340426
"Panel_1",0.5,0.81411730879816,0.918918918918919,0.138297872340426
"Panel_1",0.5,0.81411730879816,0.918918918918919,0.143617021276596
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.143617021276596
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.148936170212766
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.154255319148936
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.159574468085106
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.164893617021277
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.170212765957447
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.175531914893617
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.180851063829787
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.186170212765957
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.191489361702128
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.196808510638298
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.202127659574468
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.207446808510638
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.212765957446809
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.218085106382979
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.223404255319149
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.228723404255319
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.234042553191489
"Panel_1",0.5,0.81411730879816,0.891891891891892,0.23936170212766
